Label,content
1,"潘柏霖 　〈世界末日了我想給你抱抱〉

就算鞋底
走著走著就磨穿了
路還是得走
日子還是得繼續過
成堆的帳單得繳
要餵貓
如果衣服破掉
要用線縫好
／
屋子髒了
還是得打掃
口渴時要找飲水機
全球暖化
也還是會繼續
讓更多的北極熊
無家可居
讓你在夏天仍然非常
想開冷氣
／
日子也還是
會繼續
難過下去 "
1,反聖嬰降溫效應不敵暖化趨勢 –2021年名列全球史上前7熱(視訊)
1,"Moonshine:
獵槍、16氣缸、全地形車(ATV)、牧場主
Ale:
MAC、都市雅痞、進步膠、全球暖化"
1,"  不是的
雖然我也不知全球暖化到底是不是個問題。但科學界對它的探討和憂慮更精確的表達是“氣候極端化”。
就是趨向像月球和其他星球一樣，高溫零上一百多攝氏度，低溫零下一百多。所以暴雪極寒甚至不是反駁，而成了佐證。
是暖化這個詞給我們造成了誤解。我們再謹慎看看吧"
1, 會不會造成氣溫降低呢？對衝所謂的全球暖化。
1,"17/1/2022，全球暖化的陰天晴，初十五
No rain cloudy Monday the Chinese 15"
1,全球溫室氣體水平在2021年，創歷史新高。歐洲聯盟哥白尼氣候變化服務機構C3S說，去年造成地球暖化的二氧化碳和甲烷水平創下歷來新高。其中，二氧化碳的濃度約為百萬分之414，比前年高出約百萬分之2.4。
1,"全球暖化造成氣溫上升，使農作物產量下降。最近發現一個水稻的基因，可讓水稻在高溫下維持產量喔！
（如果喜歡我的文章，請點進部落格文中按廣告，謝謝～）
"
1," 因為香港看不到啊XD
大概是全球暖化很嚴重的緣故，香港冬天都變短了（我讀小學的時候，十一月左右就要換冬季校服了，現在十二月都嫌熱），感覺上現在只要有十五度以下的日子都能令人感到能穿冬衣的興奮（？）"
1," 全球暖化  全球暖化  全球暖化
溫哥華氣溫下降  更是全球暖化的證明
這是地球的大議題呢"
1,"幾年前拍的吉力馬札羅山，是非洲的最高山（5,895m），素有非洲屋脊之稱。
因為位於赤道加上火山活動與全球暖化的問題，山頂上的積雪已經漸漸消融。據稱於2022-2023年間，峰頂的冰川將會完全消失。

#Kilimanjaro"
1,超喜歡「要解決全球暖化是因為要維持蜥蜴人偏好的體溫」這part
1, 別了吧，會加劇全球暖化
1,【氣候變化的影響】全球暖化令北半球夏季天氣出現長時間持續的機會增加，繼而引致更多極端天氣事件，包括熱浪、乾旱及暴雨。  
1, 這是全球暖化還是全球融化
1,綠色和平 臺灣釋出了新影片: 【有聲書】氣候變遷是什麼？全球暖化原因是？ 
1,"很幸運的在2021結束前看了一部帶有黑色幽默，卻在暗示人類面對全球暖化時卻態度如此分歧的電影
Don’t look up 非常推薦大家去看"
1,原本打算要換成厚被子但看到天氣預告兩天後又熱死我就心死了 現在只好挨冷 你媽全球暖化 為什麼不可以是全球冷化 回歸冰河時期比熱熔了要好
1, 全球暖化
1,"如果CO2濃度增加到750ppm（當前按照體積是398ppm），間冰期可以持續50,000年[30]並發生全球暖化。如果CO2下降到210 ppm，那麼下次冰期將在15,000年後出現。"
1,"科學家們已警告，接下來的10年，氣候變化和全球暖化引發的極端氣候將會更頻密和更強烈。
#星洲日報 #sinchew
關注更多國際大小事："
1,"【全球暖化】華爾街即將觸發氣候金融危機
"
1,"又是一個寒冷的天氣
不過剛剛運動的時候完全沒感覺呢

外在的環境越冷,越要用你的熱情來感化這個世界
不過全球氣候暖化了,溫度上各位還是要控制一下啊(X "
1,"耶誕夜這天，來關心一下馴鹿的處境！
=========================
摘：
全球暖化影響，讓冬季變暖，降雨和降雪交替，結冰封住了馴鹿的食物來源，讓牠們身形變得更加瘦小。北極升溫速度遠高於全球平均值，科學家認為，要把升溫控制到避免或減輕氣候災難的目標，根本不可能。
"
1,"全球暖化不但導致氣候變化，也給一些物種帶來生存危機。北極地區的馴鹿，體型不但越來越小，體重也越來越輕。芬蘭遊牧民族擔心，隨著北極快速變暖，他們近十代人的傳統生活方式可能也會終結。
"
1,魏國彥 | 凜冬不至 龍捲風北掃: 英國格拉斯哥氣候峰會剛閉幕，人們正在爭論世紀末之前全球暖化能控溫一點五度還是二點七度時，地球母親已然發怒，龍捲風橫掃裙尾，呼嘯過北美平原，奪去近百人性命。… 
1," 連結地理
因全球暖化蚊子活動範圍變廣"
1,"我在想啊
每一天那麼多男生在外溢白色小波浪
把這些精液有效收集起來轉化成新綠能
全球暖化是不是就有解了"
1," 沒錯
因為gay一次來太多了
全球暖化（X"
1," 
全球暖化氣溫越來越高，多倫多以前都是零下十幾度，每隔三五天就下雪的。
但這幾年都只有零下三、五度然後去年只下了三、五場大雪。

但本人超怕冷，沒這麼喜歡下雪天 "
1,"PM 2.5 跟排碳是兩個問題，PM 2.5直接關係到人的身體健康/生活品質，但是這方面，火力發電造成的影響比一般觀感中小很多。

排碳則是全球責任的問題，人類在兩三個世代之內就得面對全球暖化的苦果。我覺得其實消費端也應該徵碳稅。舉例來說，生產外包的先進國家雖然排碳少，但是實質碳消耗才是最高的。"
1,臺灣 PM 2.5 圓餅圖 (來源：
1, 海盜數量減少促進了全球暖化，讓我們為海盜的犧牲默哀
1,全球暖化可能使病媒蚊「北遷」 環署啟動監測調查 明年底公佈結果 
1,[臺灣環境資訊中心] 全球暖化可能使病媒蚊「北遷」 環署啟動監測調查 明年底公佈結果 
1,"【氣候暖化吸引新蝴蝶】香港今年罕有發現7種新蝴蝶正在本地繁衍，另外亦有兩種極為罕見的蝴蝶消失多年再度出沒。不過，大家別為如此「大豐收」感到興奮，環保協進會提醒新品種蝴蝶出現，顯示氣候變化進入緊急狀態，全球暖化，令物種北移。根據該會的記錄，蝶種的

【全文閱讀】"
1,香港今年出現7種東南亞新蝴蝶 環保團體指「大豐收」或因全球暖化 長遠造成生態混亂
1, 全球暖化最有感的一年
1,"聯合國旗下的世界氣象組織(World Meteorological Organization, WMO)14日證實，在去年漫長的熱浪期間，位於北極圈西伯利亞的一座小鎮創下超過攝氏38度(華氏100度)的高溫記錄。
北極小鎮出現高溫引起人們對全球暖化增強的普遍擔憂。(圖：維基百科)"
1,"同理，什麼環保，動保，全球暖化，這些議題也是這樣，當然這裡說的中國人自己的民間情緒，中國共產黨作為中國人的天花板還是支援這些的，雖然同樣一個環保，不同的國家有不同的定義。

正是因為西方大力推行這些，中國輿論情緒才會越反對這些。至於這些議題本身的多錯科學性並不是重點"
2,我覺得 全球暖化大騙局 內容比較有說服力，而且1980年代在談論的各種世界末日危機其實就包括了冰河期再臨，那時候根本沒有人在討論暖化議題
2," 若全球暖化是詐騙，小冰河期又要到來，那應該不用擔心，南北極溶冰，所帶來的海平面上昇的問題了吧？
且是否可以預期，未來利用全球暖化，來進行詐騙的科學家及組織，也無法靠兜售這一套，來牟利了吧？"
2,"……抱歉底下留言真的看不下去

全球暖化是氣候變遷的一環，暖化會影響大氣中的水氣含量，造成強降雨、乾旱等極端天氣
重點是「變遷」「變遷」「變遷」

火山活動、冰原面積、海氣環流、太陽能量變化等都會造成氣候變遷，人類活動也是造成近年劇烈變化的原因之一

現在又想憑人類之力改變氣候環境？ "
2,   最開始的理論就是全球暖化南北極消融，因為不斷的被打臉才悄悄變成氣候變化，可是沙漠變魚米之鄉水草豐美也什麼不好
